               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091913,            0.031689,            0.016877,             0.70166,             0.24263,             0.18571,             0.05437,            0.067118,            0.016925,           0.0058952,           0.0033273,           0.0033273,            0.070055
                   1,            0.068895,             0.02665,           0.0044659,              0.7321,             0.35021,             0.28726,            0.087943,            0.058709,             0.01268,           0.0022372,           0.0066591,           0.0066591,            0.040053
                   2,            0.062075,            0.023349,           0.0029268,             0.57716,             0.49877,             0.49616,             0.16762,            0.054054,            0.013084,           0.0048956,           0.0099851,           0.0099851,            0.010046
                   3,            0.056084,             0.02168,           0.0024418,             0.76624,             0.73854,             0.76411,             0.28526,            0.044155,            0.010202,           0.0014954,             0.00998,             0.00998,             0.00998
                   4,            0.050728,            0.021062,           0.0018299,             0.80791,             0.72978,             0.80062,             0.36323,            0.041414,           0.0094602,          0.00098797,             0.00998,             0.00998,             0.00998
                   5,            0.046025,             0.02057,            0.001534,             0.80644,             0.80385,              0.8403,             0.37177,            0.041333,           0.0086697,          0.00076806,           0.0099645,           0.0099645,           0.0099645
                   6,            0.044918,             0.01972,            0.001269,             0.93928,             0.87063,             0.92179,             0.49219,            0.035792,           0.0089113,          0.00087555,           0.0099446,           0.0099446,           0.0099446
                   7,            0.042746,            0.019455,           0.0010782,             0.87704,             0.85886,             0.90292,             0.46569,             0.03441,           0.0085578,          0.00075192,           0.0099203,           0.0099203,           0.0099203
                   8,            0.042207,            0.019071,           0.0010999,              0.8803,             0.86416,             0.92816,             0.43666,            0.034929,           0.0081774,           0.0006925,           0.0098916,           0.0098916,           0.0098916
                   9,            0.041168,            0.019074,           0.0010835,             0.88875,             0.90294,             0.92217,             0.51918,            0.032578,           0.0081563,          0.00075644,           0.0098586,           0.0098586,           0.0098586
                  10,            0.039964,            0.018906,            0.001081,             0.94444,              0.9404,              0.9559,             0.57892,            0.029973,           0.0079783,          0.00057681,           0.0098213,           0.0098213,           0.0098213
                  11,            0.038392,             0.01799,          0.00081203,             0.86978,              0.9124,             0.92243,             0.46321,            0.035356,            0.008082,          0.00049545,           0.0097798,           0.0097798,           0.0097798
                  12,            0.038302,            0.018425,          0.00085453,             0.94375,             0.92728,              0.9565,             0.57617,            0.029713,            0.007751,          0.00048053,            0.009734,            0.009734,            0.009734
