               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088645,            0.040436,            0.018492,             0.74086,             0.31018,              0.2273,            0.074216,            0.065448,            0.015881,           0.0057182,             0.00274,             0.00274,             0.07534
                   1,            0.066788,            0.033136,           0.0043558,              0.3043,             0.48142,             0.36044,             0.16258,            0.054849,            0.011611,           0.0029121,           0.0054851,           0.0054851,            0.050585
                   2,            0.058913,            0.027459,           0.0029311,             0.62554,             0.60018,             0.58434,             0.24609,            0.053384,            0.010704,           0.0034053,           0.0082108,           0.0082108,            0.025811
                   3,            0.055712,            0.028399,           0.0026419,             0.70863,             0.73739,             0.72046,             0.31282,            0.045643,             0.01055,           0.0021965,           0.0099203,           0.0099203,           0.0099203
                   4,            0.050009,            0.026464,           0.0020475,             0.74293,             0.60586,             0.62005,             0.28285,            0.050571,            0.011818,            0.006282,           0.0099203,           0.0099203,           0.0099203
                   5,            0.047473,            0.025629,           0.0019169,             0.85693,             0.75112,             0.81857,              0.4163,            0.038633,            0.010605,           0.0017828,           0.0098586,           0.0098586,           0.0098586
                   6,            0.045188,            0.027251,           0.0016799,              0.7836,             0.55329,             0.59195,             0.28444,             0.05186,            0.012474,           0.0052936,           0.0097798,           0.0097798,           0.0097798
                   7,            0.043545,            0.028213,             0.00156,             0.85683,             0.78032,             0.81924,             0.45409,             0.03811,              0.0103,           0.0026239,            0.009684,            0.009684,            0.009684
                   8,            0.042001,            0.026097,           0.0013277,             0.92346,               0.909,             0.93631,             0.56325,            0.030579,           0.0081807,          0.00090255,           0.0095717,           0.0095717,           0.0095717
                   9,            0.039988,            0.024975,           0.0011544,             0.95674,             0.91875,              0.9512,             0.60804,            0.028891,           0.0076818,          0.00072859,           0.0094434,           0.0094434,           0.0094434
                  10,            0.039114,            0.026159,           0.0010818,             0.94448,             0.92782,             0.94872,             0.60852,            0.029034,            0.007408,          0.00076337,           0.0092995,           0.0092995,           0.0092995
                  11,            0.037422,            0.025737,          0.00099381,             0.91828,             0.93276,             0.95232,             0.59419,            0.029098,           0.0076747,          0.00094238,           0.0091406,           0.0091406,           0.0091406
                  12,            0.035832,            0.021368,          0.00085351,             0.94617,             0.89124,             0.93726,             0.58342,            0.029941,            0.007861,          0.00076637,           0.0089673,           0.0089673,           0.0089673
                  13,            0.036099,            0.024306,          0.00082191,             0.94923,             0.94327,             0.97141,             0.60668,            0.026201,           0.0071566,           0.0004511,           0.0087804,           0.0087804,           0.0087804
                  14,            0.034165,            0.022787,          0.00077441,             0.94468,             0.92994,             0.95431,             0.66039,            0.025231,           0.0071766,          0.00047438,           0.0085805,           0.0085805,           0.0085805
                  15,            0.034247,            0.022736,          0.00087604,             0.94153,             0.94887,             0.96861,             0.65883,             0.02547,           0.0069629,          0.00055716,           0.0083684,           0.0083684,           0.0083684
                  16,            0.033274,            0.020916,          0.00086689,             0.95378,              0.8735,             0.93263,             0.60435,            0.028557,           0.0077691,          0.00086391,            0.008145,            0.008145,            0.008145
                  17,            0.033006,            0.022162,          0.00068404,             0.95443,             0.95907,             0.97599,             0.64073,             0.02485,           0.0066364,          0.00038163,           0.0079112,           0.0079112,           0.0079112
                  18,            0.032659,            0.022372,           0.0006895,             0.95422,             0.95531,             0.97665,             0.69458,            0.024387,           0.0066003,          0.00039973,           0.0076679,           0.0076679,           0.0076679
                  19,            0.032275,             0.02142,          0.00061312,             0.96741,             0.95645,             0.97494,              0.6892,            0.023709,           0.0066139,          0.00038018,            0.007416,            0.007416,            0.007416
                  20,             0.03117,            0.021246,          0.00063901,             0.95885,             0.95746,             0.97654,             0.66562,            0.024294,            0.006467,          0.00043153,           0.0071566,           0.0071566,           0.0071566
                  21,            0.030995,            0.021581,          0.00066746,             0.95583,             0.93697,             0.97331,              0.6822,             0.02357,           0.0064503,            0.000523,           0.0068906,           0.0068906,           0.0068906
                  22,            0.029971,            0.020413,          0.00069465,             0.96574,             0.95246,             0.97728,             0.68344,            0.023206,           0.0062806,          0.00031276,           0.0066191,           0.0066191,           0.0066191
                  23,            0.030096,            0.020864,          0.00058096,             0.95645,             0.96063,             0.97878,             0.69445,            0.022763,           0.0061671,          0.00031855,           0.0063432,           0.0063432,           0.0063432
                  24,            0.029185,            0.021028,          0.00056484,             0.96792,             0.95529,             0.97998,             0.71023,            0.022395,           0.0061239,          0.00028096,            0.006064,            0.006064,            0.006064
                  25,            0.028745,            0.020828,          0.00053443,              0.9668,             0.95701,             0.97846,             0.70702,            0.021722,           0.0061209,          0.00027329,           0.0057826,           0.0057826,           0.0057826
                  26,            0.028103,            0.019719,          0.00054867,             0.96177,             0.95873,             0.97815,             0.71289,            0.022066,           0.0060468,          0.00030892,              0.0055,              0.0055,              0.0055
                  27,            0.027767,            0.018296,          0.00049112,             0.97411,             0.95855,             0.98167,             0.72443,            0.020814,             0.00596,          0.00024796,           0.0052174,           0.0052174,           0.0052174
                  28,            0.027415,            0.020119,          0.00044468,             0.97043,             0.96389,             0.98286,             0.71325,            0.021005,           0.0059591,          0.00028442,            0.004936,            0.004936,            0.004936
                  29,            0.026604,            0.018376,          0.00046785,             0.97308,             0.96272,              0.9831,             0.72562,             0.02081,           0.0057754,          0.00024645,           0.0046568,           0.0046568,           0.0046568
                  30,            0.026342,            0.019649,          0.00039748,             0.96089,             0.97369,             0.98161,             0.73619,            0.020551,           0.0057139,          0.00022141,           0.0043809,           0.0043809,           0.0043809
                  31,            0.025794,            0.017835,          0.00041607,             0.96966,             0.95977,             0.98344,             0.73102,            0.020039,            0.005728,          0.00020957,           0.0041094,           0.0041094,           0.0041094
                  32,            0.025539,            0.018543,          0.00038229,             0.96807,             0.96676,             0.98531,             0.75041,            0.019257,           0.0055885,          0.00019956,           0.0038434,           0.0038434,           0.0038434
                  33,             0.02483,            0.018409,          0.00035739,             0.96555,             0.96905,             0.98545,             0.75352,            0.019285,            0.005545,          0.00019923,            0.003584,            0.003584,            0.003584
                  34,            0.024639,            0.018093,          0.00041051,             0.96784,             0.97361,             0.98571,             0.74345,            0.019681,           0.0054984,          0.00021069,           0.0033321,           0.0033321,           0.0033321
                  35,             0.02452,            0.017718,           0.0003764,             0.96787,             0.97187,             0.98493,             0.74908,            0.019594,           0.0055404,          0.00020819,           0.0030888,           0.0030888,           0.0030888
                  36,            0.023277,             0.01687,          0.00038765,             0.96774,             0.96504,             0.98142,             0.75807,            0.019466,           0.0055331,          0.00019347,            0.002855,            0.002855,            0.002855
                  37,            0.023411,            0.016846,          0.00034389,             0.96849,             0.97134,             0.98496,             0.75539,            0.019406,           0.0055145,          0.00016985,           0.0026316,           0.0026316,           0.0026316
                  38,            0.023584,             0.01815,          0.00033013,             0.97121,             0.97135,             0.98625,             0.75489,            0.018978,           0.0054828,          0.00016609,           0.0024195,           0.0024195,           0.0024195
                  39,            0.022821,            0.016723,          0.00031068,             0.97314,             0.97165,             0.98672,             0.75715,            0.018546,           0.0053699,          0.00016335,           0.0022196,           0.0022196,           0.0022196
                  40,            0.022985,            0.016708,          0.00034273,             0.97676,             0.96963,             0.98607,             0.76788,            0.018043,           0.0052441,          0.00015704,           0.0020327,           0.0020327,           0.0020327
                  41,            0.022316,            0.017059,          0.00034427,             0.97407,             0.96676,             0.98422,             0.76335,             0.01865,           0.0054191,          0.00015343,           0.0018594,           0.0018594,           0.0018594
                  42,            0.022571,            0.017864,          0.00029984,             0.97239,              0.9736,             0.98643,             0.76603,            0.018458,           0.0053115,          0.00015138,           0.0017005,           0.0017005,           0.0017005
                  43,            0.022433,             0.01819,          0.00030134,             0.97534,             0.97249,               0.987,             0.77361,            0.018036,           0.0052869,          0.00015128,           0.0015566,           0.0015566,           0.0015566
                  44,            0.021911,            0.017336,          0.00031383,             0.97147,             0.97937,             0.98832,             0.77806,            0.018021,           0.0051996,          0.00015036,           0.0014283,           0.0014283,           0.0014283
                  45,            0.021749,            0.016821,          0.00026698,             0.97091,             0.97364,              0.9861,             0.78174,            0.018029,           0.0051865,          0.00013206,            0.001316,            0.001316,            0.001316
                  46,            0.020866,            0.014493,          0.00025552,             0.97075,             0.97706,             0.98896,              0.7812,             0.01748,           0.0051451,          0.00015036,           0.0012202,           0.0012202,           0.0012202
                  47,            0.021337,            0.016059,          0.00028041,             0.97426,             0.97249,             0.98682,             0.78303,            0.017716,           0.0052177,          0.00013435,           0.0011414,           0.0011414,           0.0011414
                  48,            0.021045,            0.017437,          0.00028995,             0.97411,              0.9765,             0.98797,             0.78653,            0.017507,           0.0050868,          0.00012108,           0.0010797,           0.0010797,           0.0010797
