               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095294,            0.039064,            0.018594,             0.70613,             0.21438,             0.18834,            0.049863,            0.071032,            0.017631,           0.0073772,             0.00274,             0.00274,             0.07534
                   1,            0.072169,            0.036788,            0.005696,              0.7728,             0.38303,             0.30229,            0.095333,            0.057675,            0.012899,           0.0023979,           0.0054851,           0.0054851,            0.050585
                   2,            0.064258,            0.030619,           0.0034269,             0.33571,              0.5973,             0.41535,             0.13765,            0.053154,             0.01161,           0.0020882,           0.0082108,           0.0082108,            0.025811
                   3,            0.060588,            0.030977,           0.0031951,              0.5655,             0.59796,             0.52633,             0.20569,            0.049674,            0.012264,           0.0031051,           0.0099203,           0.0099203,           0.0099203
                   4,            0.054063,             0.02816,           0.0024875,             0.70951,             0.54693,             0.56819,             0.22361,            0.054702,            0.011972,           0.0031883,           0.0099203,           0.0099203,           0.0099203
                   5,            0.051678,             0.02765,           0.0022769,             0.78596,             0.60551,             0.66449,             0.30102,            0.048313,            0.012491,           0.0020744,           0.0098586,           0.0098586,           0.0098586
                   6,            0.048242,            0.028782,           0.0017061,             0.84513,             0.79942,             0.84512,             0.37645,            0.041008,            0.010355,           0.0012069,           0.0097798,           0.0097798,           0.0097798
                   7,            0.047442,            0.029423,           0.0014357,             0.86293,             0.87632,             0.88063,             0.43835,            0.037252,           0.0094873,          0.00070819,            0.009684,            0.009684,            0.009684
                   8,            0.044209,            0.026761,           0.0012151,              0.8757,             0.88247,             0.89862,             0.46861,            0.035418,           0.0088762,          0.00074758,           0.0095717,           0.0095717,           0.0095717
                   9,            0.043462,            0.026275,           0.0012225,             0.92865,             0.79386,             0.85425,             0.47832,            0.036621,            0.009325,          0.00095835,           0.0094434,           0.0094434,           0.0094434
                  10,            0.043574,            0.027752,           0.0011864,             0.91489,              0.9057,             0.93633,             0.51792,            0.033883,           0.0085871,          0.00065604,           0.0092995,           0.0092995,           0.0092995
                  11,            0.041513,            0.027747,           0.0012713,             0.91926,             0.78878,             0.87559,             0.49645,            0.035899,           0.0095447,           0.0014818,           0.0091406,           0.0091406,           0.0091406
                  12,            0.039595,            0.022678,          0.00084345,             0.91156,             0.84473,             0.89625,             0.51303,            0.032241,            0.008788,          0.00087333,           0.0089673,           0.0089673,           0.0089673
                  13,            0.039473,            0.026178,          0.00091822,             0.93949,             0.89862,             0.93718,             0.56919,            0.030471,           0.0079967,          0.00057814,           0.0087804,           0.0087804,           0.0087804
                  14,             0.03866,            0.024917,          0.00088185,             0.91859,             0.88285,             0.92333,             0.54672,            0.030245,           0.0083301,          0.00067525,           0.0085805,           0.0085805,           0.0085805
                  15,            0.037973,            0.024839,          0.00093478,             0.94267,              0.9232,             0.95229,             0.56534,            0.029321,           0.0074942,          0.00042203,           0.0083684,           0.0083684,           0.0083684
                  16,            0.036842,            0.022555,          0.00081415,             0.94103,             0.91869,             0.95706,             0.59641,            0.029129,            0.007539,          0.00042578,            0.008145,            0.008145,            0.008145
                  17,             0.03706,            0.023881,          0.00077435,             0.94713,             0.92896,             0.96154,             0.58764,            0.028408,           0.0075926,          0.00039265,           0.0079112,           0.0079112,           0.0079112
                  18,            0.036647,            0.024226,           0.0008272,             0.93386,              0.9237,             0.95482,             0.60195,            0.028696,           0.0077616,          0.00043448,           0.0076679,           0.0076679,           0.0076679
                  19,            0.036005,            0.023288,          0.00073256,             0.94385,             0.93008,             0.96042,              0.6467,            0.026983,           0.0072937,          0.00034236,            0.007416,            0.007416,            0.007416
                  20,            0.035462,            0.023045,          0.00071239,             0.94633,             0.93691,              0.9619,             0.62681,            0.027023,           0.0073461,          0.00035494,           0.0071566,           0.0071566,           0.0071566
                  21,            0.034699,            0.023521,          0.00069369,             0.95761,              0.9112,             0.95721,             0.61474,            0.027481,            0.007289,          0.00031251,           0.0068906,           0.0068906,           0.0068906
                  22,            0.033981,            0.022446,          0.00068515,             0.94271,             0.94387,             0.96333,             0.62135,             0.02653,             0.00717,          0.00030658,           0.0066191,           0.0066191,           0.0066191
                  23,             0.03446,            0.023242,          0.00065076,             0.94643,             0.95115,             0.96983,              0.6545,            0.025117,           0.0069499,           0.0002756,           0.0063432,           0.0063432,           0.0063432
                  24,            0.033229,            0.023406,          0.00061676,              0.9528,             0.93752,             0.96176,             0.63458,            0.026534,           0.0072117,          0.00031891,            0.006064,            0.006064,            0.006064
                  25,            0.033048,            0.023268,          0.00060883,             0.96392,             0.94257,             0.97056,             0.66109,            0.025144,           0.0070282,           0.0002418,           0.0057826,           0.0057826,           0.0057826
                  26,            0.032319,             0.02201,          0.00071427,             0.95425,             0.94385,              0.9681,              0.6764,            0.025114,           0.0068223,          0.00029952,              0.0055,              0.0055,              0.0055
                  27,            0.032126,            0.020927,          0.00051528,             0.94647,             0.95292,             0.96504,             0.66951,            0.024169,           0.0067742,          0.00025353,           0.0052174,           0.0052174,           0.0052174
                  28,            0.031376,            0.021948,          0.00047426,             0.95407,              0.9427,             0.96942,             0.67725,             0.02427,            0.006749,           0.0002148,            0.004936,            0.004936,            0.004936
